Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-12-18,747.4936,755.0,747.4936,753.99999,35.62068771,26784.4082571,751.934057961
2016-12-17,740.48043,752.05081,740.33301,747.4936,53.35576158,39902.4260694,747.8559932
2016-12-16,738.05776,744.99989,735.505,740.333,52.47776207,38928.3795498,741.8071582
2016-12-15,729.60562,744.99999,723.33901,738.05707,79.6402067,58279.8601903,731.789413981
2016-12-14,731.51947,738.0,724.04705,730.0,120.69049734,88281.9198145,731.473659983
2016-12-13,733.0,745.0,728.0,735.18137,160.57035172,117950.886617,734.574504902
2016-12-12,724.972,745.0,724.61401,733.002,185.84010931,137381.445283,739.24539645
2016-12-11,732.48707,734.37489,723.7,728.0,32.13688462,23353.0906029,726.675621457
2016-12-10,727.0794,736.59099,725.05702,729.27,34.39825233,25199.2091953,732.572368898
2016-12-09,729.91718,733.30299,721.95,727.59409,97.52421979,70912.5066239,727.127135973
2016-12-08,720.40001,730.0,713.5,728.05668,250.66728759,180058.833468,718.318035031
2016-12-07,717.0,729.7,712.231,720.288,92.30883758,66643.8220853,721.965781744
2016-12-06,713.388,720.0,709.72386,718.97,50.1612236,35860.2152602,714.899132967
2016-12-05,734.0,734.0,705.0001,712.57973,84.48529805,60703.0016107,718.503728006
2016-12-04,724.0,733.49499,721.50387,731.493,10.09537502,7335.77745703,726.647345195
2016-12-03,730.95284,733.00337,718.10001,724.57732,48.87682982,35520.1251266,726.727270518
2016-12-02,710.472,739.99998,710.472,727.90801,153.27990618,111774.915056,729.220925573
2016-12-01,697.73601,718.76672,697.73601,711.7,84.28283796,59893.5300512,710.625454729
2016-11-30,698.0,702.44,691.2,699.99003,83.44230299,58351.5825467,699.304554834
2016-11-29,698.66153,703.93637,693.5802,698.0,33.79136067,23644.0113921,699.705810105
2016-11-28,696.15519,700.0,690.48243,698.66153,86.52536622,60175.4075312,695.465505204
2016-11-27,695.34101,710.16994,694.303,694.835,69.91067218,49112.8532241,702.508668457
2016-11-26,703.63436,705.9013,690.48243,699.99666,18.59746862,12959.9849466,696.868224993
2016-11-25,702.131,708.0,696.11044,703.63436,81.23144713,56996.8010098,701.659308354
2016-11-24,705.04619,709.704,696.0,700.45914,82.46036204,57952.1442041,702.787894334
2016-11-23,703.83065,708.07474,700.0,706.57229,40.79192774,28653.0542269,702.419714252
2016-11-22,699.66467,709.99996,692.1,707.317,40.36056554,28317.5262904,701.613714067
2016-11-21,691.16931,703.93636,687.05769,696.13927,23.99336187,16675.3687846,694.999261669
2016-11-20,697.09968,704.89198,675.90001,688.40465,96.32602733,66788.3650194,693.357412017
2016-11-19,694.43769,699.0,683.00001,695.01464,29.660073,20587.5763624,694.117521641
2016-11-18,685.1,698.9,683.0,693.85293,60.03256378,41583.540307,692.683065467
2016-11-17,683.43864,697.0,683.0,685.1,56.65849299,38895.1171047,686.483438794
2016-11-16,661.0,689.89999,661.0,683.43864,88.87170743,60021.7931065,675.375716775
2016-11-15,655.83193,665.0,655.653,661.0,40.77771007,26965.8989846,661.29017393
2016-11-14,652.4246,659.88821,649.0,655.653,28.08555941,18348.273065,653.299184721
2016-11-13,650.57175,655.92294,637.5258,652.4246,38.20329351,24677.443122,645.950672172
2016-11-12,660.0,662.0,647.95977,653.35202,56.46106216,37041.9313329,656.061538975
2016-11-11,661.67,663.77558,655.7628,660.0,60.90310742,40178.143061,659.705961864
2016-11-10,657.493,662.083,650.011,659.75272,64.25623251,42234.227708,657.278306839
2016-11-09,644.001,668.0,644.00029,657.493,76.62433855,50348.4502514,657.081694983
2016-11-08,637.99999,651.07442,633.60401,644.001,73.00074148,46973.1746118,643.46160956
2016-11-07,638.937,640.0,630.10701,637.99999,51.60148318,32874.2205632,637.078985666
2016-11-06,636.99999,650.48136,631.9,640.0,71.54119808,46007.4309781,643.090026626
2016-11-05,632.07907,640.863,628.18901,636.909,71.97453521,45801.4249015,636.355966285
