Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-07-29,654.84,657.48,653.0,654.61,1297.14816627,848986.161928,654.502071548
2016-07-28,655.13,657.89,652.41,653.07,1909.23654208,1249934.30199,654.677550129
2016-07-27,651.22,659.98,646.31,653.48,2664.94311137,1742046.05746,653.689772975
2016-07-26,655.0,656.94,645.01,651.24,3552.82907397,2311378.90589,650.574192499
2016-07-25,659.64,661.99,652.28,654.96,2441.94401025,1600627.62502,655.472696465
2016-07-24,655.52,665.0,651.99,661.47,1427.97990306,939586.014222,657.982659426
2016-07-23,647.88,656.77,646.0,655.52,1284.52223933,838038.597392,652.412680554
2016-07-22,663.25,666.3,645.0,649.95,5191.55506577,3407485.3597,656.351578002
2016-07-21,667.01,667.1,660.1,663.99,2503.04270767,1661238.4119,663.687601818
2016-07-20,674.8,675.0,660.0,667.03,3418.62509416,2282261.37539,667.596274096
2016-07-19,673.45,675.81,666.0,673.48,1904.43446142,1278189.69039,671.164965919
2016-07-18,679.54,682.21,666.12,672.1,3012.20623456,2037381.50674,676.375170917
2016-07-17,662.45,684.19,661.35,679.54,3437.77012475,2320473.32246,674.993742529
2016-07-16,664.6,666.67,655.0,662.45,1682.67647056,1111201.65884,660.377486865
2016-07-15,660.3,670.01,658.41,664.6,3228.34264303,2143543.85395,663.976563509
2016-07-14,652.24,664.93,650.01,659.1,2392.43467683,1576629.17147,659.006152492
2016-07-13,663.52,669.97,651.03,655.06,6573.20203068,4342194.79169,660.590496294
2016-07-12,649.32,678.0,646.05,663.52,4288.07627477,2839548.15157,662.196278616
2016-07-11,648.77,659.6,639.31,649.32,2978.13685533,1932846.20001,649.011880214
2016-07-10,647.78,650.88,636.8,648.76,2313.34939114,1490267.21786,644.20325938
2016-07-09,663.0,663.99,626.0,647.78,6180.15042485,3994710.13065,646.377491814
2016-07-08,638.89,665.99,635.0,663.0,6579.38521243,4252992.55385,646.411847996
2016-07-07,674.7,678.43,605.5,638.19,12686.9774814,8058820.66247,635.204143328
2016-07-06,669.09,679.0,662.13,674.7,3590.61112814,2412784.30191,671.970373789
2016-07-05,678.74,682.36,661.57,668.94,3112.7271219,2092573.27766,672.263643972
2016-07-04,659.77,682.35,640.1,680.35,4290.13225288,2870919.40162,669.19135178
2016-07-03,702.48,704.99,646.29,658.27,7320.31995024,4906039.38349,670.194665921
2016-07-02,674.55,704.93,672.74,702.48,5506.04313621,3811458.84055,692.231925224
2016-07-01,666.33,684.1,659.71,674.86,6432.9196212,4339245.15677,674.537443693
2016-06-30,635.91,671.22,628.06,667.95,7479.78991538,4895853.65048,654.54427275
2016-06-29,644.33,645.0,621.09,634.11,9132.47818623,5770127.80366,631.824975214
2016-06-28,657.49,665.51,635.5,646.08,5478.35678011,3544743.27599,647.044984157
2016-06-27,630.16,658.0,618.03,657.5,8668.59311399,5537101.67279,638.754363019
2016-06-26,658.8,662.9,608.64,630.16,5838.1489745,3672917.73877,629.123675126
2016-06-25,660.76,684.45,639.4,659.86,6576.67165429,4375554.65365,665.314445309
2016-06-24,622.59,683.88,620.82,661.71,16163.8016025,10563018.7887,653.498418781
2016-06-23,600.51,632.67,1.5,624.91,24334.0793193,14297065.0423,587.532606212
2016-06-22,665.36,677.63,588.03,601.3,16456.4087792,10462967.0683,635.798928472
2016-06-21,725.0,728.18,625.0,667.54,33056.2896443,22257644.3019,673.32554686
2016-06-20,759.12,763.99,723.4,730.85,7975.97107838,5917339.4618,741.895802236
2016-06-19,753.47,764.93,740.11,761.44,2617.27920864,1975322.22799,754.723539418
2016-06-18,745.0,778.85,723.02,754.83,5903.47180558,4450980.85624,753.959873584
2016-06-17,767.37,778.7,706.37,745.22,14687.2708368,10852879.6436,738.930994345
2016-06-16,695.0,773.07,689.8,766.62,17946.826847,13252865.1519,738.451719902
2016-06-15,685.25,695.77,672.12,695.0,5783.92382786,3958020.17043,684.314020762
2016-06-14,703.81,704.5,655.0,685.25,10633.4405021,7245670.99635,681.404197908
2016-06-13,668.73,725.0,655.02,704.49,17280.603971,11948752.1777,691.454546252
2016-06-12,610.0,683.02,603.21,672.13,14138.3068012,9092256.25452,643.093715703
2016-06-11,576.53,611.0,575.93,610.0,4000.07125397,2358616.30702,589.643573143
2016-06-10,576.06,580.0,572.0,578.01,3458.56492292,1992463.06209,576.095318866
2016-06-09,583.01,583.1,572.97,575.01,3770.7182618,2173852.24839,576.508796855
2016-06-08,577.48,584.25,571.86,583.03,3259.15110512,1885760.65199,578.604854812
2016-06-07,584.12,594.44,563.0,577.54,6705.91830357,3889183.61435,579.962868364
