Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-10-28,630.85,634.0,626.22,628.025,4343.09914775,2736706.09819,630.127474664
2016-10-27,621.01,635.12,619.811,630.73,6427.38390321,4040208.05342,628.592925872
2016-10-26,605.245,626.0,604.122,621.0,5885.2106488,3624847.78159,615.924900211
2016-10-25,600.2,614.979,599.981,604.26,5297.14419851,3206175.74394,605.264954811
2016-10-24,600.222,601.99,596.0,600.0,4214.27632416,2526516.00147,599.51360735
2016-10-23,602.611,605.88,597.3,600.222,2476.49823576,1488828.60704,601.182987149
2016-10-22,581.736,609.632,581.623,602.601,6077.82569815,3621077.13015,595.784958304
2016-10-21,579.653,584.0,579.393,581.736,2671.51085334,1556132.87729,582.491692051
2016-10-20,576.988,583.0,574.019,579.653,3436.72522629,1988218.22561,578.521148679
2016-10-19,581.24,582.99,572.51,576.964,4538.4310284,2624876.64815,578.366539388
2016-10-18,581.6,585.345,578.43,581.979,4471.96218304,2602644.86269,581.991697641
2016-10-17,583.99,584.99,580.119,581.6,3044.86562138,1774584.27559,582.812017426
2016-10-16,582.9,587.042,581.99,583.99,1950.64048073,1140809.09813,584.838215654
2016-10-15,583.35,587.562,578.711,582.89,2171.0296306,1268385.23424,584.232115659
2016-10-14,575.09,584.7,573.941,583.35,4771.53596384,2769699.52379,580.462883394
2016-10-13,579.36,579.99,572.5,574.152,3206.59971784,1849880.76023,576.897936446
2016-10-12,581.61,584.77,576.502,577.46,4377.6517828,2539853.86517,580.186362733
2016-10-11,558.303,586.61,556.171,581.111,6768.99805749,3889634.27753,574.624818104
2016-10-10,551.912,558.854,551.72,558.0,3088.49460424,1717597.89127,556.12785883
2016-10-09,555.4,555.966,551.91,552.69,1383.70412374,766348.074586,553.838108478
2016-10-08,556.0,559.46,552.266,555.4,1734.07540827,964196.907187,556.029399061
2016-10-07,551.25,560.79,550.007,556.0,3566.77175469,1986527.9215,556.954035226
2016-10-06,550.476,553.38,547.782,551.25,2941.08093087,1619633.35004,550.693227461
2016-10-05,547.15,552.483,544.881,550.476,3663.06241171,2011454.32787,549.118224532
2016-10-04,547.353,548.0,544.0,547.15,3349.20644818,1830645.56178,546.590838788
2016-10-03,545.999,548.973,544.244,547.353,2349.29145026,1285180.43412,547.05023252
2016-10-02,550.68,550.8,544.001,546.0,1381.83684416,755329.957876,546.612981893
2016-10-01,546.729,553.839,546.22,550.68,3163.8809542,1738499.10107,549.483095677
2016-09-30,541.98,547.172,540.02,546.094,3571.41302172,1941438.72916,543.605210976
2016-09-29,539.752,545.13,539.586,541.98,3601.54925364,1953642.21303,542.444952281
2016-09-28,542.749,547.692,539.751,539.752,3063.58372869,1661612.94519,542.375561547
2016-09-27,540.991,546.0,539.427,542.501,3347.22470276,1813362.76481,541.751129919
